symbol,ID,人物名,背景图,角色立绘1,角色立绘2,content,跳转,音效,BGM,effect,
start,0,侦探,,,,你和小夕来到了一个空荡荡的房间，放眼望去没什么太多东西，几张桌椅、保险柜、通风管道……,1,,Joel Nielsen - Office Complex (Mesa Remix),,
dialog,1,小夕,,主角_白大褂暗,小夕,“好冷好冷。”小夕打了个寒战。,2,,,,
dialog,2,侦探,,主角_白大褂,,夜已经深了，你也觉得身上的白大褂有些难以抵御寒意，决定四处找找有没有什么取暖的装置。,3,,,,
dialog,3,侦探,,主角_白大褂,,对了，有通风管道！那就说明这里有空调！,4,,,,
dialog,4,侦探,,,,经过一番搜寻，终于找到了了空调的开关。虽然不知道它是不是还运作着，但姑且试试吧。抱着这样的心态，你按下了按钮。,5,,,,
dialog,5,侦探,,,,呼呼呼——,6,,,,
dialog,6,侦探,,,,大堆大堆的信纸夹杂着铜锈味和若有若无的血腥气息哗哗地从通风管道里冲了出来。,7,,,杂物间无信件,杂物间有信件
dialog,7,侦探,,主角,,仔细看去，上面都是歪歪扭扭的用血写的字，有些字迹已经因为时间较远变得暗红发黑。,8,,,,
dialog,8,侦探,,（闪回：）,,此行前调查到的信息——已经有很多侦探和推理爱好者前往调查这家医院了，可他们都没有消息再传回来。,9,,,,
dialog,9,侦探,,,,都是那些有去无回的牺牲者留下的。你忍着不适强迫自己看去，大多数都是一些濒死前的惊恐情绪和草草写下的心愿。,10,,,,
dialog,10,侦探,,,,其中有些仿佛能看到字迹主人生前神志不清的挣扎和想要强迫自己留下某些信息的执著。,11,,,,
image,11,,牺牲者的纸条,,,,12,,,,
dialog,12,侦探,,主角,,“远离电子设备”、“生前未了的心愿”、“难以控制的清醒”……你喃喃念着从这些字迹里提取的关键词。,13,,,,
dialog,13,侦探,,,,你有些不寒而栗地想起了自己花白一片的手机，你决定：,14,,,,
option,14,侦探,,,,说不定就是编出来骗人财物的，毕竟手机电脑都还挺值钱的，不会是老钱干的吧？再说了带了这么久手机都没事。,16,,,,
option,15,侦探,,,,相信纸上的内容，把手机丢掉，宁可信其有不可信其无。,25,,,,
dialog,16,侦探,,,,你和小夕犹豫了一下，还是决定把这些比较值钱的电子设备带在身上，毕竟已经失灵了。,17,,,,
dialog,17,侦探,,,,你把手机和印着德克萨特字样的那封信分开装在两个兜里，便于更妥善地保管。,18,,,,
dialog,18,侦探,,,,令人意外的是，你的手机屏幕忽然恢复了正常，似乎原有的干扰根本没有出现过。,19,,,,
dialog,19,侦探,,,,再次抬起头来的时候，你忽然感受到难以忍受的饥饿，你看向一旁的小夕，她的身影变得模糊不清起来。,20,,,,
dialog,20,侦探,,,,你感受到自己好像被某种脑电波干扰着，内心的野兽咆哮着让你享用一顿饕餮盛宴。,21,,,,
dialog,21,侦探,,,小夕,你扑了上去。,22,,,,
dialog,22,侦探,,,小夕,你最后的理智挣扎着告诉你，要把保命的提示留给后来人。,23,,,,
dialog,23,侦探,,,,一封新写就的信血迹未干，躺在了信纸堆里。,24,,,,
BE,24,2,BE脑波控制,,,BE：脑波控制——不听前人言，葬身在眼前。,25,,,,
dialog,25,侦探,,,,相信纸上的内容，把手机丢掉，宁可信其有不可信其无。,26,,,,
dialog,26,侦探,,,,你和小夕对视一眼，把身上所有电子设备都拿出来丢掉。不管怎么说，保命要紧。,27,,,,
END,,,,,,,,,,,
